Brand,Quarter,Market Share
ZTE,Q3 '14,0
ZTE,Q4 '14,0
ZTE,Q1 '15,0
ZTE,Q2 '15,0
ZTE,Q3 '15,0
ZTE,Q4 '15,0
ZTE,Q1 '16,0
ZTE,Q2 '16,0
ZTE,Q3 '16,0
ZTE,Q4 '16,0
ZTE,Q1 '17,0
ZTE,Q2 '17,0
ZTE,Q3 '17,0
ZTE,Q4 '17,0
ZTE,Q1 '18,0
ZTE,Q2 '18,0
ZTE,Q3 '18,0
ZTE,Q4 '18,0
ZTE,Q1 '19,0
ZTE,Q2 '19,0
vivo,Q4 '09,0
vivo,Q1 '10,0
vivo,Q2 '10,0
vivo,Q3 '10,0
vivo,Q4 '10,0
vivo,Q1 '11,0
vivo,Q2 '11,0
vivo,Q3 '11,0
vivo,Q4 '11,0
vivo,Q1 '12,0
vivo,Q2 '12,0
vivo,Q3 '12,0
vivo,Q4 '12,0
vivo,Q1 '13,0
vivo,Q2 '13,0
vivo,Q3 '13,0
vivo,Q4 '13,0
vivo,Q1 '14,0
vivo,Q2 '14,0
vivo,Q3 '14,0
vivo,Q4 '14,0
vivo,Q1 '15,0.019
vivo,Q2 '15,0.027
vivo,Q3 '15,0.029
vivo,Q4 '15,0.03
vivo,Q1 '16,0.044
vivo,Q2 '16,0.048
vivo,Q3 '16,0.058
vivo,Q4 '16,0.058
vivo,Q1 '17,0.052
vivo,Q2 '17,0
vivo,Q3 '17,0
vivo,Q4 '17,0
vivo,Q1 '18,0.056
vivo,Q2 '18,0
vivo,Q3 '18,0
vivo,Q4 '18,0
vivo,Q1 '19,0.075
vivo,Q2 '19,0
Sony,Q4 '09,0
Sony,Q1 '10,0
Sony,Q2 '10,0
Sony,Q3 '10,0
Sony,Q4 '10,0
Sony,Q1 '11,0
Sony,Q2 '11,0
Sony,Q3 '11,0
Sony,Q4 '11,0.039
Sony,Q1 '12,0.036
Sony,Q2 '12,0.047
Sony,Q3 '12,0.047
Sony,Q4 '12,0.045
Sony,Q1 '13,0
Sony,Q2 '13,0
Sony,Q3 '13,0
Sony,Q4 '13,0
Sony,Q1 '14,0
Sony,Q2 '14,0
Sony,Q3 '14,0
Sony,Q4 '14,0
Sony,Q1 '15,0
Sony,Q2 '15,0
Sony,Q3 '15,0
Sony,Q4 '15,0
Sony,Q1 '16,0
Sony,Q2 '16,0
Sony,Q3 '16,0
Sony,Q4 '16,0
Sony,Q1 '17,0
Sony,Q2 '17,0
Sony,Q3 '17,0
Sony,Q4 '17,0
Sony,Q1 '18,0
Sony,Q2 '18,0
Sony,Q3 '18,0
Sony,Q4 '18,0
Sony,Q1 '19,0
Sony,Q2 '19,0
RIM,Q4 '09,0.199
RIM,Q1 '10,0.191
RIM,Q2 '10,0.174
RIM,Q3 '10,0.15
RIM,Q4 '10,0.143
RIM,Q1 '11,0.136
RIM,Q2 '11,0.115
RIM,Q3 '11,0.096
RIM,Q4 '11,0.081
RIM,Q1 '12,0.064
RIM,Q2 '12,0.049
